nct_id,title,conditions,eligible,exclusion_flags,period_count
NCT00581009,The Role of Dopamine Metabolism in the Antidepressant Effects of Sleep Deprivation and Sertraline in Depressed Patients,Major Depressive Disorder | Bipolar Disorder,False,no_mixed_bipolar_schizophrenia,1
NCT00596817,Efficacy of Vortioxetine (Lu AA21004) in the Prevention of Relapse of Major Depressive Episodes,Major Depressive Disorder,True,,3
NCT00610649,"Trial to Determine the Maximum Tolerated Dose (MTD) Based on Safety and Tolerability, of Org 26576 in Participants With Major Depressive Disorder (174001/P05704/MK-8777-001)",Depression,False,explicit_major_depression,1
NCT00612807,Treatment of Mood and Marriage Study (TOMMS),Major Depressive Disorder | Partner Relational Disorder (V61.10),True,,1
NCT00619619,Study Evaluating Desvenlafaxine Succinate Sustained-Release (DVS SR) In The Treatment Of Child And Adolescent Outpatients With Major Depressive Disorder,Depression | Major Depressive Disorder,False,parallel,1
NCT00633399,Ziprasidone Augmentation of SSRIs for Patients With Major Depressive Disorder (MDD) That do Not Sufficiently Respond to Treatment With SSRIs,Major Depressive Disorder,True,,1
NCT00635219,"Randomised Placebo-controlled Duloxetine-referenced Efficacy and Safety Study of 2.5, 5 and 10 mg of Vortioxetine (Lu AA21004) in Acute Treatment of Major Depressive Disorder",Major Depressive Disorder,True,,1
NCT00644358,A One Year Open Label Study Assessing the Safety and Tolerability of Vilazodone in Patients With Major Depressive Disorder (MDD),Major Depressive Disorder,False,randomized;parallel,1
NCT00655057,Effects of Antidepressant Therapy on Brain Dopamine Transporter Activity in People With Major Depression,Depression,False,explicit_major_depression,1
NCT00668525,Escitalopram in Adult Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00669110,Study Evaluating Desvenlafaxine Succinate Sustained-Release Tablets (DVS SR) In The Treatment Of Child and Adolescent Outpatients With Major Depressive Disorder,"Depressive Disorder, Major Depressive Disorder",False,parallel,1
NCT00671515,Pioglitazone for the Treatment of Major Depressive Disorder Comorbid With Metabolic Syndrome,"Depressive Disorder, Major | Metabolic Syndrome X",False,randomized;parallel,2
NCT00672620,Efficacy and Safety of Vortioxetine (Lu AA21004) in the Treatment of Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00672958,Efficacy and Safety of Vortioxetine (Lu AA21004) in Treating Adults With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00683592,"Randomized, Double-Blind, Placebo Controlled Study of Vilazodone's Efficacy, Safety, and Biomarkers of Response in Major Depressive Disorder (MDD)",Major Depressive Disorder,True,,1
NCT00683852,"A Double-Blind, Placebo-Controlled Study of Aripiprazole Adjunctive to Antidepressant Therapy",Major Depressive Disorder,True,,2
NCT00694304,"Open-label Safety Extension Study of 2.5, 5 and 10 mg of Vortioxetine (Lu AA21004) in Long-term Treatment of Major Depressive Disorder in Adults",Major Depressive Disorder,False,randomized;parallel,1
NCT00705003,Efficacy and Safety Study of a Combination Product [Drug:BCI-024 (Buspirone) and Drug:BCI-049 (Melatonin)] to Treat Major Depressive Disorder (MDD),Major Depressive Disorder,True,,2
NCT00707980,Safety and Tolerability of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,Major Depressive Disorder,False,randomized;parallel,1
NCT00731653,Open Label Extension Assessing the Tolerability of BCI-024 in Combination With BCI-049 in Patients With Major Depressive Disorder (MDD),Major Depressive Disorder,False,randomized,1
NCT00733980,A Study of the Effects of a New Antidepressant Treatment (GSK561679) in Females With Major Depressive Disorder,"Depressive Disorder, Major",True,,1
NCT00735709,Efficacy Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00739908,A Study of CX157 (TriRima) for the Treatment of Depression,Major Depressive Disorder,True,,1
NCT00742573,Incorporating Patient Treatment Choice to Improve Treatment Retention in Depressed Hispanics,Major Depressive Disorder,True,,1
NCT00759395,"Study of Antidepressant Efficacy of a Selective, High Affinity Enkephalinergic Agonist in Anxious Major Depressive Disorder (AMDD)",Anxious Major Depressive Disorder,True,,1
NCT00761306,Open-label Safety Extension Study of 5 and 10 mg of Vortioxetine (Lu AA21004) in Long-term Treatment of Major Depressive Disorder in Adults,Major Depressive Disorder,False,randomized;parallel,1
NCT00768430,Optimization of IV Ketamine for Treatment Resistant Depression,Major Depressive Disorder (MDD) | Treatment Resistant Depression (TRD),True,,2
NCT00775203,"A Randomized, Double-blind, Two-arm Study Comparing the Efficacy and Safety of Trazodone Contramid® OAD and Placebo in the Treatment of Unipolar Major Depressive Disorder.",Major Depressive Disorder,True,,1
NCT00789854,Comparing Quetiapine XR Monotherapy and Augmentation With Lithium Augmentation in TRD Patients,Major Depressive Disorder | Treatment Resistant Depression,True,,1
NCT00795821,A Study in Adult Patients With Major Depressive Disorder,"Depressive Disorder, Major",True,,3
